,ROWHEADER,Test,ODI,T20,IPL,name,Final_Country,Categorey
1799,Eco,2.84,4.82,7.04,7.57,Mitchell Santner,NewZealand,Bowling
1800,SR,72.24,44.5,18.9,27.17,Mitchell Santner,NewZealand,Bowling
1801,BBI,7/53,5/50,4/11,2/13,Mitchell Santner,NewZealand,Bowling
1802,BBM,13/157,5/50,4/11,2/13,Mitchell Santner,NewZealand,Bowling
1803,4w,1,0,3,0,Mitchell Santner,NewZealand,Bowling
1804,5w,2,2,0,0,Mitchell Santner,NewZealand,Bowling
1805,10w,1,0,0,0,Mitchell Santner,NewZealand,Bowling
1806,Matches,88,157,26,0,Tom Latham,NewZealand,Bowling
1807,Innings,0,0,0,0,Tom Latham,NewZealand,Bowling
1808,Balls,0,0,0,0,Tom Latham,NewZealand,Bowling
1809,Runs,0,0,0,0,Tom Latham,NewZealand,Bowling
1810,Maidens,0,0,0,0,Tom Latham,NewZealand,Bowling
1811,Wickets,0,0,0,0,Tom Latham,NewZealand,Bowling
1812,Avg,0.0,0.0,0.0,0.0,Tom Latham,NewZealand,Bowling
1813,Eco,0,0,0,0,Tom Latham,NewZealand,Bowling
1814,SR,0.0,0.0,0.0,0.0,Tom Latham,NewZealand,Bowling
1815,BBI,-/-,-/-,-/-,-/-,Tom Latham,NewZealand,Bowling
1816,BBM,-/-,-/-,-/-,-/-,Tom Latham,NewZealand,Bowling
1817,4w,0,0,0,0,Tom Latham,NewZealand,Bowling
1818,5w,0,0,0,0,Tom Latham,NewZealand,Bowling
1819,10w,0,0,0,0,Tom Latham,NewZealand,Bowling
1820,Matches,40,12,9,0,Tom Blundell,NewZealand,Bowling
1821,Innings,1,0,0,0,Tom Blundell,NewZealand,Bowling
1822,Balls,18,0,0,0,Tom Blundell,NewZealand,Bowling
1823,Runs,13,0,0,0,Tom Blundell,NewZealand,Bowling
1824,Maidens,0,0,0,0,Tom Blundell,NewZealand,Bowling
1825,Wickets,0,0,0,0,Tom Blundell,NewZealand,Bowling
1826,Avg,0.0,0.0,0.0,0.0,Tom Blundell,NewZealand,Bowling
1827,Eco,4.33,0,0,0,Tom Blundell,NewZealand,Bowling
1828,SR,0.0,0.0,0.0,0.0,Tom Blundell,NewZealand,Bowling
1829,BBI,0/13,-/-,-/-,-/-,Tom Blundell,NewZealand,Bowling
1830,BBM,0/13,-/-,-/-,-/-,Tom Blundell,NewZealand,Bowling
1831,4w,0,0,0,0,Tom Blundell,NewZealand,Bowling
1832,5w,0,0,0,0,Tom Blundell,NewZealand,Bowling
1833,10w,0,0,0,0,Tom Blundell,NewZealand,Bowling
1834,Matches,78,114,61,109,Trent Boult,NewZealand,Bowling
1835,Innings,149,113,61,109,Trent Boult,NewZealand,Bowling
1836,Balls,17417,6180,1389,2457,Trent Boult,NewZealand,Bowling
1837,Runs,8717,5146,1779,3420,Trent Boult,NewZealand,Bowling
1838,Maidens,655,76,4,11,Trent Boult,NewZealand,Bowling
1839,Wickets,317,211,83,126,Trent Boult,NewZealand,Bowling
1840,Avg,27.5,24.39,21.43,27.14,Trent Boult,NewZealand,Bowling
1841,Eco,3,5,7.68,8.35,Trent Boult,NewZealand,Bowling
1842,SR,54.94,29.29,16.73,19.5,Trent Boult,NewZealand,Bowling
1843,BBI,6/30,7/34,4/13,4/18,Trent Boult,NewZealand,Bowling
1844,BBM,10/80,7/34,4/13,4/18,Trent Boult,NewZealand,Bowling
1845,4w,18,10,2,1,Trent Boult,NewZealand,Bowling
1846,5w,10,6,0,0,Trent Boult,NewZealand,Bowling
1847,10w,1,0,0,0,Trent Boult,NewZealand,Bowling
1848,Matches,30,91,21,6,Matt Henry,NewZealand,Bowling
1849,Innings,59,89,20,6,Matt Henry,NewZealand,Bowling
1850,Balls,6750,4734,462,102,Matt Henry,NewZealand,Bowling
1851,Runs,3581,4094,639,181,Matt Henry,NewZealand,Bowling
1852,Maidens,231,57,1,0,Matt Henry,NewZealand,Bowling
1853,Wickets,120,165,27,2,Matt Henry,NewZealand,Bowling
1854,Avg,29.84,24.81,23.67,90.5,Matt Henry,NewZealand,Bowling
1855,Eco,3.18,5.19,8.3,10.65,Matt Henry,NewZealand,Bowling
1856,SR,56.25,28.69,17.11,51.0,Matt Henry,NewZealand,Bowling
1857,BBI,7/23,5/30,3/32,1/28,Matt Henry,NewZealand,Bowling
1858,BBM,9/55,5/30,3/32,1/28,Matt Henry,NewZealand,Bowling
1859,4w,6,12,0,0,Matt Henry,NewZealand,Bowling
1860,5w,4,3,0,0,Matt Henry,NewZealand,Bowling
1861,10w,0,0,0,0,Matt Henry,NewZealand,Bowling
1862,Matches,107,161,125,54,Tim Southee,NewZealand,Bowling
1863,Innings,203,159,123,54,Tim Southee,NewZealand,Bowling
1864,Balls,23490,8075,2753,1206,Tim Southee,NewZealand,Bowling
1865,Runs,11832,7447,3671,1742,Tim Southee,NewZealand,Bowling
1866,Maidens,888,80,7,2,Tim Southee,NewZealand,Bowling
1867,Wickets,391,221,164,47,Tim Southee,NewZealand,Bowling
1868,Avg,30.26,33.7,22.38,37.06,Tim Southee,NewZealand,Bowling
1869,Eco,3.02,5.53,8,8.67,Tim Southee,NewZealand,Bowling
1870,SR,60.08,36.54,16.79,25.66,Tim Southee,NewZealand,Bowling
1871,BBI,7/64,7/33,5/18,3/20,Tim Southee,NewZealand,Bowling
1872,BBM,10/108,7/33,5/18,3/20,Tim Southee,NewZealand,Bowling
1873,4w,19,5,2,0,Tim Southee,NewZealand,Bowling
1874,5w,15,3,2,0,Tim Southee,NewZealand,Bowling
1875,10w,1,0,0,0,Tim Southee,NewZealand,Bowling
1876,Matches,21,54,124,8,Ish Sodhi,NewZealand,Bowling
1877,Innings,38,50,119,8,Ish Sodhi,NewZealand,Bowling
1878,Balls,4043,2557,2501,181,Ish Sodhi,NewZealand,Bowling
1879,Runs,2500,2350,3333,202,Ish Sodhi,NewZealand,Bowling
1880,Maidens,91,12,0,1,Ish Sodhi,NewZealand,Bowling
1881,Wickets,58,64,144,9,Ish Sodhi,NewZealand,Bowling
1882,Avg,43.1,36.72,23.15,22.44,Ish Sodhi,NewZealand,Bowling
1883,Eco,3.71,5.51,8,6.7,Ish Sodhi,NewZealand,Bowling
1884,SR,69.71,39.95,17.37,20.11,Ish Sodhi,NewZealand,Bowling
1885,BBI,6/86,6/39,4/28,3/26,Ish Sodhi,NewZealand,Bowling
1886,BBM,8/173,6/39,4/28,3/26,Ish Sodhi,NewZealand,Bowling
1887,4w,2,1,3,0,Ish Sodhi,NewZealand,Bowling
1888,5w,1,1,0,0,Ish Sodhi,NewZealand,Bowling
1889,10w,0,0,0,0,Ish Sodhi,NewZealand,Bowling
1890,Matches,1,65,43,49,Lockie Ferguson,NewZealand,Bowling
1891,Innings,1,64,43,49,Lockie Ferguson,NewZealand,Bowling
1892,Balls,66,3300,919,1023,Lockie Ferguson,NewZealand,Bowling
1893,Runs,47,3124,1087,1530,Lockie Ferguson,NewZealand,Bowling
1894,Maidens,1,13,5,1,Lockie Ferguson,NewZealand,Bowling
1895,Wickets,0,99,64,51,Lockie Ferguson,NewZealand,Bowling
1896,Avg,0.0,31.56,16.98,30.0,Lockie Ferguson,NewZealand,Bowling
1897,Eco,4.27,5.68,7.1,8.97,Lockie Ferguson,NewZealand,Bowling
1898,SR,0.0,33.33,14.36,20.06,Lockie Ferguson,NewZealand,Bowling
1899,BBI,0/47,5/45,5/21,4/28,Lockie Ferguson,NewZealand,Bowling
1900,BBM,0/47,5/45,5/21,4/28,Lockie Ferguson,NewZealand,Bowling
1901,4w,0,2,2,1,Lockie Ferguson,NewZealand,Bowling
1902,5w,0,1,1,0,Lockie Ferguson,NewZealand,Bowling
1903,10w,0,0,0,0,Lockie Ferguson,NewZealand,Bowling
1904,Matches,5,146,103,92,Aaron Finch,Australia,Bowling
1905,Innings,1,21,2,5,Aaron Finch,Australia,Bowling
1906,Balls,12,284,12,43,Aaron Finch,Australia,Bowling
1907,Runs,8,259,27,67,Aaron Finch,Australia,Bowling
1908,Maidens,0,0,0,0,Aaron Finch,Australia,Bowling
1909,Wickets,0,4,0,1,Aaron Finch,Australia,Bowling
1910,Avg,0.0,64.75,0.0,67.0,Aaron Finch,Australia,Bowling
1911,Eco,4,5.47,13.5,9.35,Aaron Finch,Australia,Bowling
1912,SR,0.0,71.0,0.0,43.0,Aaron Finch,Australia,Bowling
1913,BBI,0/8,1/2,0/9,1/11,Aaron Finch,Australia,Bowling
1914,BBM,0/8,1/2,0/9,1/11,Aaron Finch,Australia,Bowling
1915,4w,0,0,0,0,Aaron Finch,Australia,Bowling
1916,5w,0,0,0,0,Aaron Finch,Australia,Bowling
1917,10w,0,0,0,0,Aaron Finch,Australia,Bowling
1918,Matches,116,170,67,103,Steven Smith,Australia,Bowling
1919,Innings,62,40,17,1,Steven Smith,Australia,Bowling
1920,Balls,1470,1076,291,2,Steven Smith,Australia,Bowling
1921,Runs,1008,971,378,5,Steven Smith,Australia,Bowling
1922,Maidens,28,1,1,0,Steven Smith,Australia,Bowling
1923,Wickets,19,28,17,0,Steven Smith,Australia,Bowling
1924,Avg,53.05,34.68,22.24,0.0,Steven Smith,Australia,Bowling
1925,Eco,4.11,5.41,7.79,0,Steven Smith,Australia,Bowling
1926,SR,77.37,38.43,17.12,0.0,Steven Smith,Australia,Bowling
1927,BBI,3/18,3/16,3/20,0/5,Steven Smith,Australia,Bowling
1928,BBM,4/83,3/16,3/20,0/5,Steven Smith,Australia,Bowling
1929,4w,0,0,0,0,Steven Smith,Australia,Bowling
1930,5w,0,0,0,0,Steven Smith,Australia,Bowling
1931,10w,0,0,0,0,Steven Smith,Australia,Bowling
1932,Matches,112,161,110,184,David Warner,Australia,Bowling
1933,Innings,19,1,0,1,David Warner,Australia,Bowling
1934,Balls,342,6,0,1,David Warner,Australia,Bowling
1935,Runs,269,8,0,2,David Warner,Australia,Bowling
1936,Maidens,1,0,0,0,David Warner,Australia,Bowling
1937,Wickets,4,0,0,0,David Warner,Australia,Bowling
1938,Avg,67.25,0.0,0.0,0.0,David Warner,Australia,Bowling
1939,Eco,4.72,8,0,0,David Warner,Australia,Bowling
1940,SR,85.5,0.0,0.0,0.0,David Warner,Australia,Bowling
1941,BBI,2/45,0/8,-/-,0/2,David Warner,Australia,Bowling
1942,BBM,2/45,0/8,-/-,0/2,David Warner,Australia,Bowling
1943,4w,0,0,0,0,David Warner,Australia,Bowling
1944,5w,0,0,0,0,David Warner,Australia,Bowling
1945,10w,0,0,0,0,David Warner,Australia,Bowling
1946,Matches,57,63,1,0,Marnus Labuschagne,Australia,Bowling
1947,Innings,46,14,0,0,Marnus Labuschagne,Australia,Bowling
1948,Balls,1268,281,0,0,Marnus Labuschagne,Australia,Bowling
1949,Runs,795,325,0,0,Marnus Labuschagne,Australia,Bowling
1950,Maidens,20,1,0,0,Marnus Labuschagne,Australia,Bowling
1951,Wickets,13,8,0,0,Marnus Labuschagne,Australia,Bowling
1952,Avg,61.15,40.63,0.0,0.0,Marnus Labuschagne,Australia,Bowling
1953,Eco,3.76,6.94,0,0,Marnus Labuschagne,Australia,Bowling
1954,SR,97.54,35.13,0.0,0.0,Marnus Labuschagne,Australia,Bowling
1955,BBI,3/45,3/39,-/-,-/-,Marnus Labuschagne,Australia,Bowling
1956,BBM,5/119,3/39,-/-,-/-,Marnus Labuschagne,Australia,Bowling
1957,4w,0,0,0,0,Marnus Labuschagne,Australia,Bowling
1958,5w,0,0,0,0,Marnus Labuschagne,Australia,Bowling
1959,10w,0,0,0,0,Marnus Labuschagne,Australia,Bowling
1960,Matches,23,6,5,0,Joe Burns,Australia,Bowling
1961,Innings,0,0,0,0,Joe Burns,Australia,Bowling
1962,Balls,0,0,0,0,Joe Burns,Australia,Bowling
1963,Runs,0,0,0,0,Joe Burns,Australia,Bowling
1964,Maidens,0,0,0,0,Joe Burns,Australia,Bowling
1965,Wickets,0,0,0,0,Joe Burns,Australia,Bowling
1966,Avg,0.0,0.0,0.0,0.0,Joe Burns,Australia,Bowling
1967,Eco,0,0,0,0,Joe Burns,Australia,Bowling
1968,SR,0.0,0.0,0.0,0.0,Joe Burns,Australia,Bowling
1969,BBI,-/-,-/-,-/-,-/-,Joe Burns,Australia,Bowling
1970,BBM,-/-,-/-,-/-,-/-,Joe Burns,Australia,Bowling
1971,4w,0,0,0,0,Joe Burns,Australia,Bowling
1972,5w,0,0,0,0,Joe Burns,Australia,Bowling
1973,10w,0,0,0,0,Joe Burns,Australia,Bowling
1974,Matches,1,0,0,0,Will Pucovski,Australia,Bowling
1975,Innings,0,0,0,0,Will Pucovski,Australia,Bowling
1976,Balls,0,0,0,0,Will Pucovski,Australia,Bowling
1977,Runs,0,0,0,0,Will Pucovski,Australia,Bowling
1978,Maidens,0,0,0,0,Will Pucovski,Australia,Bowling
1979,Wickets,0,0,0,0,Will Pucovski,Australia,Bowling
1980,Avg,0.0,0.0,0.0,0.0,Will Pucovski,Australia,Bowling
1981,Eco,0,0,0,0,Will Pucovski,Australia,Bowling
1982,SR,0.0,0.0,0.0,0.0,Will Pucovski,Australia,Bowling
1983,BBI,-/-,-/-,-/-,-/-,Will Pucovski,Australia,Bowling
1984,BBM,-/-,-/-,-/-,-/-,Will Pucovski,Australia,Bowling
1985,4w,0,0,0,0,Will Pucovski,Australia,Bowling
1986,5w,0,0,0,0,Will Pucovski,Australia,Bowling
1987,10w,0,0,0,0,Will Pucovski,Australia,Bowling
1988,Matches,56,73,38,31,Travis Head,Australia,Bowling
1989,Innings,37,40,4,6,Travis Head,Australia,Bowling
1990,Balls,855,1125,36,58,Travis Head,Australia,Bowling
1991,Runs,515,1067,56,113,Travis Head,Australia,Bowling
1992,Maidens,11,0,0,0,Travis Head,Australia,Bowling
1993,Wickets,15,24,1,2,Travis Head,Australia,Bowling
1994,Avg,34.33,44.46,56.0,56.5,Travis Head,Australia,Bowling
1995,Eco,3.61,5.69,9.33,11.69,Travis Head,Australia,Bowling
1996,SR,57.0,46.88,36.0,29.0,Travis Head,Australia,Bowling
1997,BBI,4/10,4/28,1/16,2/30,Travis Head,Australia,Bowling
1998,BBM,4/10,4/28,1/16,2/30,Travis Head,Australia,Bowling
1999,4w,1,1,0,0,Travis Head,Australia,Bowling
2000,5w,0,0,0,0,Travis Head,Australia,Bowling
2001,10w,0,0,0,0,Travis Head,Australia,Bowling
2002,Matches,7,149,116,140,Glenn Maxwell,Australia,Bowling
2003,Innings,9,119,76,85,Glenn Maxwell,Australia,Bowling
2004,Balls,462,4002,985,1022,Glenn Maxwell,Australia,Bowling
2005,Runs,341,3644,1321,1413,Glenn Maxwell,Australia,Bowling
2006,Maidens,4,14,0,1,Glenn Maxwell,Australia,Bowling
2007,Wickets,8,77,43,41,Glenn Maxwell,Australia,Bowling
2008,Avg,42.63,47.32,30.72,34.46,Glenn Maxwell,Australia,Bowling
2009,Eco,4.43,5.46,8.05,8.3,Glenn Maxwell,Australia,Bowling
2010,SR,57.75,51.97,22.91,24.93,Glenn Maxwell,Australia,Bowling
2011,BBI,4/127,4/40,3/10,2/15,Glenn Maxwell,Australia,Bowling
2012,BBM,4/127,4/40,3/10,2/15,Glenn Maxwell,Australia,Bowling
2013,4w,1,4,0,0,Glenn Maxwell,Australia,Bowling
2014,5w,0,0,0,0,Glenn Maxwell,Australia,Bowling
2015,10w,0,0,0,0,Glenn Maxwell,Australia,Bowling
2016,Matches,0,71,74,101,Marcus Stoinis,Australia,Bowling
2017,Innings,0,64,48,67,Marcus Stoinis,Australia,Bowling
2018,Balls,0,2071,750,861,Marcus Stoinis,Australia,Bowling
2019,Runs,0,2070,1091,1384,Marcus Stoinis,Australia,Bowling
2020,Maidens,0,5,0,0,Marcus Stoinis,Australia,Bowling
2021,Wickets,0,48,45,43,Marcus Stoinis,Australia,Bowling
2022,Avg,0.0,43.13,24.24,32.19,Marcus Stoinis,Australia,Bowling
2023,Eco,0,6,8.73,9.64,Marcus Stoinis,Australia,Bowling
2024,SR,0.0,43.15,16.67,20.02,Marcus Stoinis,Australia,Bowling
2025,BBI,-/-,3/16,4/23,4/15,Marcus Stoinis,Australia,Bowling
2026,BBM,-/-,3/16,4/23,4/15,Marcus Stoinis,Australia,Bowling
2027,4w,0,0,1,1,Marcus Stoinis,Australia,Bowling
2028,5w,0,0,0,0,Marcus Stoinis,Australia,Bowling
2029,10w,0,0,0,0,Marcus Stoinis,Australia,Bowling
2030,Matches,4,16,24,62,Moises Henriques,Australia,Bowling
2031,Innings,4,12,10,60,Moises Henriques,Australia,Bowling
2032,Balls,330,402,138,950,Moises Henriques,Australia,Bowling
2033,Runs,164,347,194,1289,Moises Henriques,Australia,Bowling
2034,Maidens,12,1,0,0,Moises Henriques,Australia,Bowling
2035,Wickets,2,8,7,42,Moises Henriques,Australia,Bowling
2036,Avg,82.0,43.38,27.71,30.69,Moises Henriques,Australia,Bowling
2037,Eco,2.98,5.18,8.43,8.14,Moises Henriques,Australia,Bowling
2038,SR,165.0,50.25,19.71,22.62,Moises Henriques,Australia,Bowling
2039,BBI,1/48,3/32,3/22,3/12,Moises Henriques,Australia,Bowling
2040,BBM,1/48,3/32,3/22,3/12,Moises Henriques,Australia,Bowling
2041,4w,0,0,0,0,Moises Henriques,Australia,Bowling
2042,5w,0,0,0,0,Moises Henriques,Australia,Bowling
2043,10w,0,0,0,0,Moises Henriques,Australia,Bowling
2044,Matches,28,28,13,29,Cameron Green,Australia,Bowling
2045,Innings,44,25,12,29,Cameron Green,Australia,Bowling
2046,Balls,2190,814,188,439,Cameron Green,Australia,Bowling
2047,Runs,1236,784,279,664,Cameron Green,Australia,Bowling
2048,Maidens,63,0,0,0,Cameron Green,Australia,Bowling
2049,Wickets,35,20,12,16,Cameron Green,Australia,Bowling
2050,Avg,35.31,39.2,23.25,41.5,Cameron Green,Australia,Bowling
2051,Eco,3.39,5.78,8.9,9.08,Cameron Green,Australia,Bowling
2052,SR,62.57,40.7,15.67,27.44,Cameron Green,Australia,Bowling
2053,BBI,5/27,5/33,3/35,2/12,Cameron Green,Australia,Bowling
2054,BBM,5/27,5/33,3/35,2/12,Cameron Green,Australia,Bowling
2055,4w,0,0,0,0,Cameron Green,Australia,Bowling
2056,5w,1,1,0,0,Cameron Green,Australia,Bowling
2057,10w,0,0,0,0,Cameron Green,Australia,Bowling
2058,Matches,5,22,49,0,Ashton Agar,Australia,Bowling
2059,Innings,10,22,49,0,Ashton Agar,Australia,Bowling
2060,Balls,1006,1098,1042,0,Ashton Agar,Australia,Bowling
2061,Runs,468,958,1129,0,Ashton Agar,Australia,Bowling
2062,Maidens,36,4,2,0,Ashton Agar,Australia,Bowling
2063,Wickets,9,21,49,0,Ashton Agar,Australia,Bowling
2064,Avg,52.0,45.62,23.04,0.0,Ashton Agar,Australia,Bowling
2065,Eco,2.79,5.23,6.5,0,Ashton Agar,Australia,Bowling
2066,SR,111.78,52.29,21.27,0.0,Ashton Agar,Australia,Bowling
2067,BBI,3/46,2/31,6/30,-/-,Ashton Agar,Australia,Bowling
2068,BBM,5/101,2/31,6/30,-/-,Ashton Agar,Australia,Bowling
2069,4w,0,0,0,0,Ashton Agar,Australia,Bowling
2070,5w,0,0,2,0,Ashton Agar,Australia,Bowling
2071,10w,0,0,0,0,Ashton Agar,Australia,Bowling
2072,Matches,0,0,10,16,Daniel Sams,Australia,Bowling
2073,Innings,0,0,10,16,Daniel Sams,Australia,Bowling
2074,Balls,0,0,180,360,Daniel Sams,Australia,Bowling
2075,Runs,0,0,305,523,Daniel Sams,Australia,Bowling
2076,Maidens,0,0,0,0,Daniel Sams,Australia,Bowling
2077,Wickets,0,0,7,14,Daniel Sams,Australia,Bowling
2078,Avg,0.0,0.0,43.57,37.36,Daniel Sams,Australia,Bowling
2079,Eco,0,0,10.17,8.72,Daniel Sams,Australia,Bowling
2080,SR,0.0,0.0,25.71,25.71,Daniel Sams,Australia,Bowling
2081,BBI,-/-,-/-,2/33,4/30,Daniel Sams,Australia,Bowling
2082,BBM,-/-,-/-,2/33,4/30,Daniel Sams,Australia,Bowling
2083,4w,0,0,0,1,Daniel Sams,Australia,Bowling
2084,5w,0,0,0,0,Daniel Sams,Australia,Bowling
2085,10w,0,0,0,0,Daniel Sams,Australia,Bowling
2086,Matches,2,4,0,1,Michael Neser,Australia,Bowling
2087,Innings,4,4,0,1,Michael Neser,Australia,Bowling
2088,Balls,281,220,0,24,Michael Neser,Australia,Bowling
2089,Runs,117,239,0,62,Michael Neser,Australia,Bowling
2090,Maidens,11,2,0,0,Michael Neser,Australia,Bowling
2091,Wickets,7,3,0,0,Michael Neser,Australia,Bowling
2092,Avg,16.71,79.67,0.0,0.0,Michael Neser,Australia,Bowling
2093,Eco,2.5,6.52,0,15.5,Michael Neser,Australia,Bowling
2094,SR,40.14,73.33,0.0,0.0,Michael Neser,Australia,Bowling
2095,BBI,3/22,2/46,-/-,0/62,Michael Neser,Australia,Bowling
2096,BBM,5/56,2/46,-/-,0/62,Michael Neser,Australia,Bowling
2097,4w,0,0,0,0,Michael Neser,Australia,Bowling
2098,5w,0,0,0,0,Michael Neser,Australia,Bowling
2099,10w,0,0,0,0,Michael Neser,Australia,Bowling
2100,Matches,39,80,38,3,Alex Carey,Australia,Bowling
2101,Innings,0,0,0,0,Alex Carey,Australia,Bowling
2102,Balls,0,0,0,0,Alex Carey,Australia,Bowling
2103,Runs,0,0,0,0,Alex Carey,Australia,Bowling
2104,Maidens,0,0,0,0,Alex Carey,Australia,Bowling
2105,Wickets,0,0,0,0,Alex Carey,Australia,Bowling
2106,Avg,0.0,0.0,0.0,0.0,Alex Carey,Australia,Bowling
2107,Eco,0,0,0,0,Alex Carey,Australia,Bowling
2108,SR,0.0,0.0,0.0,0.0,Alex Carey,Australia,Bowling
2109,BBI,-/-,-/-,-/-,-/-,Alex Carey,Australia,Bowling
2110,BBM,-/-,-/-,-/-,-/-,Alex Carey,Australia,Bowling
2111,4w,0,0,0,0,Alex Carey,Australia,Bowling
2112,5w,0,0,0,0,Alex Carey,Australia,Bowling
2113,10w,0,0,0,0,Alex Carey,Australia,Bowling
2114,Matches,36,97,92,15,Matthew Wade,Australia,Bowling
2115,Innings,4,0,0,0,Matthew Wade,Australia,Bowling
2116,Balls,30,0,0,0,Matthew Wade,Australia,Bowling
2117,Runs,28,0,0,0,Matthew Wade,Australia,Bowling
2118,Maidens,1,0,0,0,Matthew Wade,Australia,Bowling
2119,Wickets,0,0,0,0,Matthew Wade,Australia,Bowling
2120,Avg,0.0,0.0,0.0,0.0,Matthew Wade,Australia,Bowling
2121,Eco,5.6,0,0,0,Matthew Wade,Australia,Bowling
2122,SR,0.0,0.0,0.0,0.0,Matthew Wade,Australia,Bowling
2123,BBI,0/0,-/-,-/-,-/-,Matthew Wade,Australia,Bowling
2124,BBM,0/0,-/-,-/-,-/-,Matthew Wade,Australia,Bowling
2125,4w,0,0,0,0,Matthew Wade,Australia,Bowling
2126,5w,0,0,0,0,Matthew Wade,Australia,Bowling
2127,10w,0,0,0,0,Matthew Wade,Australia,Bowling
2128,Matches,35,35,12,2,Tim Paine,Australia,Bowling
2129,Innings,0,0,0,0,Tim Paine,Australia,Bowling
2130,Balls,0,0,0,0,Tim Paine,Australia,Bowling
2131,Runs,0,0,0,0,Tim Paine,Australia,Bowling
2132,Maidens,0,0,0,0,Tim Paine,Australia,Bowling
2133,Wickets,0,0,0,0,Tim Paine,Australia,Bowling
2134,Avg,0.0,0.0,0.0,0.0,Tim Paine,Australia,Bowling
2135,Eco,0,0,0,0,Tim Paine,Australia,Bowling
2136,SR,0.0,0.0,0.0,0.0,Tim Paine,Australia,Bowling
2137,BBI,-/-,-/-,-/-,-/-,Tim Paine,Australia,Bowling
2138,BBM,-/-,-/-,-/-,-/-,Tim Paine,Australia,Bowling
2139,4w,0,0,0,0,Tim Paine,Australia,Bowling
2140,5w,0,0,0,0,Tim Paine,Australia,Bowling
2141,10w,0,0,0,0,Tim Paine,Australia,Bowling
2142,Matches,67,90,57,64,Pat Cummins,Australia,Bowling
2143,Innings,125,90,57,64,Pat Cummins,Australia,Bowling
2144,Balls,13616,4683,1254,1443,Pat Cummins,Australia,Bowling
2145,Runs,6597,4116,1556,2149,Pat Cummins,Australia,Bowling
2146,Maidens,496,46,4,2,Pat Cummins,Australia,Bowling
2147,Wickets,294,143,66,67,Pat Cummins,Australia,Bowling
2148,Avg,22.44,28.78,23.58,32.07,Pat Cummins,Australia,Bowling
2149,Eco,2.91,5.27,7.44,8.94,Pat Cummins,Australia,Bowling
2150,SR,46.31,32.75,19.0,21.54,Pat Cummins,Australia,Bowling
2151,BBI,6/23,5/70,3/15,4/34,Pat Cummins,Australia,Bowling
2152,BBM,10/62,5/70,3/15,4/34,Pat Cummins,Australia,Bowling
2153,4w,17,6,0,1,Pat Cummins,Australia,Bowling
2154,5w,13,1,0,0,Pat Cummins,Australia,Bowling
2155,10w,2,0,0,0,Pat Cummins,Australia,Bowling
2156,Matches,136,29,2,0,Nathan Lyon,Australia,Bowling
2157,Innings,253,29,2,0,Nathan Lyon,Australia,Bowling
2158,Balls,34103,1626,30,0,Nathan Lyon,Australia,Bowling
2159,Runs,16699,1334,48,0,Nathan Lyon,Australia,Bowling
2160,Maidens,1078,11,0,0,Nathan Lyon,Australia,Bowling
2161,Wickets,553,29,1,0,Nathan Lyon,Australia,Bowling
2162,Avg,30.2,46.0,48.0,0.0,Nathan Lyon,Australia,Bowling
2163,Eco,2.94,4.92,9.6,0,Nathan Lyon,Australia,Bowling
2164,SR,61.67,56.07,30.0,0.0,Nathan Lyon,Australia,Bowling
2165,BBI,8/50,4/44,1/33,-/-,Nathan Lyon,Australia,Bowling
2166,BBM,13/154,4/44,1/33,-/-,Nathan Lyon,Australia,Bowling
2167,4w,26,1,0,0,Nathan Lyon,Australia,Bowling
2168,5w,24,0,0,0,Nathan Lyon,Australia,Bowling
2169,10w,5,0,0,0,Nathan Lyon,Australia,Bowling
2170,Matches,96,127,65,46,Mitchell Starc,Australia,Bowling
2171,Innings,184,127,65,45,Mitchell Starc,Australia,Bowling
2172,Balls,18535,6512,1458,961,Mitchell Starc,Australia,Bowling
2173,Runs,10534,5712,1881,1355,Mitchell Starc,Australia,Bowling
2174,Maidens,591,55,2,1,Mitchell Starc,Australia,Bowling
2175,Wickets,382,244,79,61,Mitchell Starc,Australia,Bowling
2176,Avg,27.58,23.41,23.81,22.21,Mitchell Starc,Australia,Bowling
2177,Eco,3.41,5.26,7.74,8.46,Mitchell Starc,Australia,Bowling
2178,SR,48.52,26.69,18.46,15.75,Mitchell Starc,Australia,Bowling
2179,BBI,6/48,6/28,4/20,5/35,Mitchell Starc,Australia,Bowling
2180,BBM,11/94,6/28,4/20,5/35,Mitchell Starc,Australia,Bowling
2181,4w,20,12,1,2,Mitchell Starc,Australia,Bowling
2182,5w,15,9,0,1,Mitchell Starc,Australia,Bowling
2183,10w,2,0,0,0,Mitchell Starc,Australia,Bowling
2184,Matches,0,111,95,22,Adam Zampa,Australia,Bowling
2185,Innings,0,111,94,22,Adam Zampa,Australia,Bowling
2186,Balls,0,5777,2057,467,Adam Zampa,Australia,Bowling
2187,Runs,0,5343,2458,652,Adam Zampa,Australia,Bowling
2188,Maidens,0,15,1,0,Adam Zampa,Australia,Bowling
2189,Wickets,0,187,117,31,Adam Zampa,Australia,Bowling
2190,Avg,0.0,28.57,21.01,21.03,Adam Zampa,Australia,Bowling
2191,Eco,0,5.55,7.17,8.38,Adam Zampa,Australia,Bowling
2192,SR,0.0,30.89,17.58,15.06,Adam Zampa,Australia,Bowling
2193,BBI,-/-,5/35,5/19,6/19,Adam Zampa,Australia,Bowling
2194,BBM,-/-,5/35,5/19,6/19,Adam Zampa,Australia,Bowling
2195,4w,0,11,2,0,Adam Zampa,Australia,Bowling
